Title,Company,Location,Experience
Inginer proiectare geotehnică,Skilld by eJobs,București,Mid-Level (2-5 Ani)
Lucrator Comercial,Skilld,"București, Otopeni",Entry-Level (< 2 Ani)
"Game Show Host 4,000 RON net + 400 RON meal tickets + BONUS 500 RON",EZUGI,București,"Fără Experiență, Entry-Level (< 2 Ani) și alte 1"
System Administrator,Macarne LLC,Remote (de acasă),"Mid-Level (2-5 Ani), Senior-Level (> 5 Ani)"
Application Engineer (m/f/d),MOTUL Deutschland GmbH,București,"Mid-Level (2-5 Ani), Senior-Level (> 5 Ani)"
Tehnician Agronom Cercetare (m/f/d),KWS Group,Alexandria,Mid-Level (2-5 Ani)
Customer Service Representative - Maternity Leave cover,Mondelez,București,Mid-Level (2-5 Ani)
German Speaking Customer Service Advisor -Relocate to Greece,Webhelp Greece,Remote (de acasă),Entry-Level (< 2 Ani)
"Game Presenter Bucuresti, in limba Engleza: 3400 RON Net + BONUS",Evolution Romania,"București, Ilfov, Chitila","Fără Experiență, Entry-Level (< 2 Ani)"
"Job in Grecia / Spania. Turism, Vanzari, Fotograf Hotelier",PHOTOHOTEL SRL,Toate oraşele,"Fără Experiență, Entry-Level (< 2 Ani) și alte 2"
Team Leader Deva,Decathlon Romania,Deva,"Mid-Level (2-5 Ani), Senior-Level (> 5 Ani) și alte 1"
Team Leader,Decathlon Romania,"București, Bacau, Bistrita și alte 25 orașe","Mid-Level (2-5 Ani), Senior-Level (> 5 Ani) și alte 1"
Arhitect,Skilld by eJobs,București,Senior-Level (> 5 Ani)
Senior Software Engineer – Java,Emirates Airlines,București,Mid-Level (2-5 Ani)
Senior Technical Software Engineer – Salesforce,Emirates Airlines,București,Mid-Level (2-5 Ani)
Expert în cadrul departamentului de tineret,Skilld by eJobs,București,Mid-Level (2-5 Ani)
Expert in comunicare,Skilld by eJobs,București,Mid-Level (2-5 Ani)
Expert in educatie,Skilld by eJobs,București,Mid-Level (2-5 Ani)
Inginer de calcul,Skilld by eJobs,București,"Mid-Level (2-5 Ani), Senior-Level (> 5 Ani)"
Project Manager,Skilld by eJobs,București,"Senior-Level (> 5 Ani), Manager / Executiv"
Store Manager Bucuresti,Skilld,"București, Otopeni","Mid-Level (2-5 Ani), Senior-Level (> 5 Ani) și alte 1"
Site Manager – Instalații Electrice,Skilld by eJobs,București,Mid-Level (2-5 Ani)
Reprezentant Relatii Clienti Junior,SC Groupama Asigurari SA,Cluj-Napoca,"Fără Experiență, Entry-Level (< 2 Ani)"
Marketing Assistant,Skilld,"București, Ilfov","Entry-Level (< 2 Ani), Mid-Level (2-5 Ani)"
Credit Controller,Skilld,Oradea,Mid-Level (2-5 Ani)
Inginer Proiectant Instalatii Electrice (Curenți Slabi),Skilld by eJobs,București,"Mid-Level (2-5 Ani), Senior-Level (> 5 Ani)"
Contabil Sef,Skilld by eJobs,"Cluj-Napoca, Turda, Floresti și alte 3 orașe",Senior-Level (> 5 Ani)
Project Engineer CEE South,CHEP,Remote (de acasă),"Mid-Level (2-5 Ani), Senior-Level (> 5 Ani)"
Director economic,Skilld by eJobs,"Otopeni, București, Ilfov și alte 3 orașe",Senior-Level (> 5 Ani)
Embedded Software Developer,Skilld by eJobs,București,"Mid-Level (2-5 Ani), Senior-Level (> 5 Ani)"
Sales Representative,Skilld by eJobs,București,"Entry-Level (< 2 Ani), Mid-Level (2-5 Ani)"
Manager zonal vânzări HoReCa,S.C. Cramele Cotnari S.A.,"București, Cluj-Napoca, Iasi și alte 2 orașe","Mid-Level (2-5 Ani), Senior-Level (> 5 Ani)"
Internal Audit Supervisor,SC FRIGOGLASS ROMANIA SRL,Timisoara,Senior-Level (> 5 Ani)
Inginer Proiectant Instalatii Electrice (Curenti Tari),Skilld by eJobs,București,"Entry-Level (< 2 Ani), Mid-Level (2-5 Ani) și alte 1"
Personal de Serviciu Oradea 1 Fabricilor 4h (f/m),Sediul Regional Lugoj,Oradea,Entry-Level (< 2 Ani)
Personal de Serviciu Satu Mare 1 Str. Rodnei (f/m),Sediul Regional Lugoj,Satu-Mare,Entry-Level (< 2 Ani)
Asistent medical radiolog / generalist,DigiRay,"București, Bacau, Constanta și alte 2 orașe",Entry-Level (< 2 Ani)
Tehnician masuratori emisii,EXPERT PETROLEUM SOLUTIONS,"Timisoara, Targu Jiu, Sannicolau Mare, Rovinari","Fără Experiență, Entry-Level (< 2 Ani)"
Asistent Vanzari,DEICHMANN S.R.L.,"Bacau, Baia Mare, Buzau și alte 9 orașe","Entry-Level (< 2 Ani), Mid-Level (2-5 Ani)"
"Casier Cosmopolis, Judet Ilfov",Pepco Retail SRL,"București, Ilfov","Entry-Level (< 2 Ani), Mid-Level (2-5 Ani)"
Consilier vanzari imobiliare,ROMCONSULTING INTERNATIONAL,București,Mid-Level (2-5 Ani)
TEHNICIAN MENTENANTA / ASISTENT TEHNIC ECHIPAMENTE PRODUCTIE / TEHNICIAN SERVICE,MERLINS BEVERAGES SRL,Piatra Neamt,"Mid-Level (2-5 Ani), Senior-Level (> 5 Ani)"
Content Reviewer (Bilingual: Estonian/English) - On-site,Webhelp Romania,București,Entry-Level (< 2 Ani)
Content Reviewer (Bilingual: Slovak/English) - On-site,Webhelp Romania,București,Entry-Level (< 2 Ani)
Content Reviewer (Bilingual: Serbian/English) - On-site,Webhelp Romania,București,Entry-Level (< 2 Ani)
Content Reviewer (Bilingual: Bulgarian/English) - On-site,Webhelp Romania,București,Entry-Level (< 2 Ani)
Content Reviewer (Bilingual: Ukrainian/English) - On-site,Webhelp Romania,București,Entry-Level (< 2 Ani)
Consilier Amanet / AMANETAR,Amanet Gold Services SRL,București,"Fără Experiență, Entry-Level (< 2 Ani)"
GESTIONAR DEPOZIT,Global Art Production,Targu-Mures,Senior-Level (> 5 Ani)
Payroll Implementation Consultant (French),AUTOMATIC DATA PROCESSING (ADP) ROMANIA SRL,București,"Entry-Level (< 2 Ani), Mid-Level (2-5 Ani)"
"Customer Service Representative, Dutch Speaker (f/m/x",AUTO1 Global Services GmbH & Co. KG,București,Entry-Level (< 2 Ani)
Reprezentant vanzari Key Account - Sud,SC SYMMETRICA SRL,"Bistrita, Cluj-Napoca, Oradea și alte 2 orașe","Entry-Level (< 2 Ani), Mid-Level (2-5 Ani)"
MECANIC / ELECTRICIAN INTRETINERE ECHIPAMENTE,SC INFOMED FLUIDS SRL,"București, Ilfov","Entry-Level (< 2 Ani), Mid-Level (2-5 Ani)"
Reprezentant medical,SC POLICLINICA DE DIAGNOSTIC RAPID SA,Brasov,"Entry-Level (< 2 Ani), Mid-Level (2-5 Ani)"
Lacatus mecanic,Puratos Prod,"București, Ilfov","Entry-Level (< 2 Ani), Mid-Level (2-5 Ani)"
Customer Support BRITISH AIRWAYS – French (Work from Office),IGT SERVICES AND TECHNOLOGIES S.R.L.,București,"Fără Experiență, Entry-Level (< 2 Ani)"
"ML Data Associate with German language, Alexa Shopping Data Associate",Amazon Development Center (Romania) S.R.L,București,"Fără Experiență, Entry-Level (< 2 Ani)"
Reprezentant vanzari Key Account - Vest,SC SYMMETRICA SRL,"Bistrita, Cluj-Napoca, Oradea și alte 2 orașe","Entry-Level (< 2 Ani), Mid-Level (2-5 Ani)"
Inginer Electronist,A-E ELECTRONICS SA,Bacau,Mid-Level (2-5 Ani)
Operator echipamente SMT,A-E ELECTRONICS SA,Bacau,"Entry-Level (< 2 Ani), Mid-Level (2-5 Ani)"
Electronist,A-E ELECTRONICS SA,Bacau,"Entry-Level (< 2 Ani), Mid-Level (2-5 Ani)"
German Customer Operations Representative,SPARKWARE TECHNOLOGIES SRL,București,Entry-Level (< 2 Ani)
Electrician / Mecanic Auto,Toyota Ploieşti - Arena Auto,Ploiesti,"Mid-Level (2-5 Ani), Senior-Level (> 5 Ani)"
Electrician / Mecanic Auto,Toyota Ploieşti - Arena Auto,Ploiesti,"Mid-Level (2-5 Ani), Senior-Level (> 5 Ani)"
"TEHNICIAN MECANIC BACAU,TELEORMAN, CRAIOVA",NHR AGROPARTNERS SRL,"Bacau, Rosiorii de Vede, Craiova","Entry-Level (< 2 Ani), Mid-Level (2-5 Ani)"
Manufacturing IS Specialist,SC Somarest SRL,"Sibiu, Cisnadie, Avrig",Mid-Level (2-5 Ani)
Agent vanzari judetul Covasna,Grup Cris-Tim,Covasna,"Mid-Level (2-5 Ani), Senior-Level (> 5 Ani)"
SEF DE SANTIER,ORIENT CONTRUCT DECOR S.R.L.,Constanta,"Mid-Level (2-5 Ani), Manager / Executiv"
Fochist - Brasov,Asahi CE & Europe Services s.r.o.,Brasov,Entry-Level (< 2 Ani)
